ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘
2026062803020203,1,06280527,5,      15880,  12.2,  11.4,  17.6,  18.3,   1.1
2026062803020203,1,06280536,5,      15916,  12.2,  11.4,  17.6,  18.3,   1.1
2026062803020203,1,06280544,5,      16014,  12.1,  11.4,  17.6,  18.4,   1.1
2026062803020203,1,06280552,5,      16168,  11.9,  10.8,  17.2,  17.9,   1.1
2026062803020203,1,06280600,5,      16303,  11.8,  10.8,  17.2,  17.9,   1.1
2026062803020203,1,06280609,5,      16446,  11.7,  10.8,  16.4,  18.0,   1.1
2026062803020203,1,06280617,5,      16522,  11.8,  10.5,  16.4,  17.9,   1.1
2026062803020203,1,06280625,5,      16584,  11.8,  10.5,  15.8,  17.8,   1.1
2026062803020203,1,06280633,5,      17361,  12.2,  10.9,  16.3,  18.4,   1.1
2026062803020203,1,06280642,5,      17396,  12.2,  10.8,  16.1,  18.4,   1.1
2026062803020203,1,06280650,5,      17564,  12.3,  10.8,  16.1,  18.4,   1.1
2026062803020203,1,06280658,5,      17797,  12.3,  10.8,  16.1,  18.1,   1.1
2026062803020203,1,06280706,5,      19690,  13.0,  11.5,  16.4,  19.2,   1.1
2026062803020203,1,06280715,5,      19986,  13.0,  11.6,  16.5,  19.4,   1.1
2026062803020203,1,06280723,5,      20160,  12.9,  11.4,  16.2,  19.2,   1.1
2026062803020203,1,06280731,5,      20265,  12.8,  11.4,  16.2,  19.2,   1.1
2026062803020203,1,06280739,5,      21700,  13.3,  10.9,  17.0,  20.0,   1.1
2026062803020203,1,06280748,5,      21977,  13.3,  10.7,  16.8,  20.1,   1.1
2026062803020203,1,06280756,5,      22302,  12.7,  10.3,  16.2,  19.5,   1.1
2026062803020203,1,06280804,5,      22631,  12.7,  10.2,  16.3,  19.6,   1.1
2026062803020203,1,06280812,5,      22807,  12.4,  10.2,  16.0,  19.4,   1.1
2026062803020203,1,06280821,5,      23045,  12.4,  10.1,  15.8,  19.4,   1.1
2026062803020203,1,06280829,5,      23298,  12.2,  10.0,  15.5,  18.9,   1.1
2026062803020203,1,06280837,5,      23561,  11.7,   9.8,  15.4,  18.9,   1.1
2026062803020203,1,06280845,5,      24199,  11.5,   9.1,  14.8,  18.6,   1.1
2026062803020203,1,06280854,5,      24758,  11.4,   8.9,  14.4,  18.0,   1.1
2026062803020203,1,06280902,5,      25532,  11.1,   8.7,  13.8,  17.5,   1.1
2026062803020203,1,06280910,5,      25981,  11.0,   8.6,  13.7,  17.5,   1.1
2026062803020203,1,06280918,5,      26756,  10.4,   8.1,  12.9,  16.6,   1.1
2026062803020203,1,06280927,5,      28676,  10.6,   8.3,  13.1,  17.2,   1.1
2026062803020203,1,06280935,5,      30326,  10.6,   8.2,  12.8,  16.3,   1.1
2026062803020203,1,06280943,5,      32927,   7.7,   8.3,  12.9,  16.9,   1.1
2026062803020203,1,06280951,5,      34142,   7.7,   7.9,  12.3,  16.3,   1.1
2026062803020203,1,06281000,5,      34943,   7.6,   7.8,  12.0,  16.2,   1.1
2026062803020203,1,06281008,5,      39564,   8.3,   8.6,  12.9,  17.5,   1.1
2026062803020203,1,06281015,5,      40328,   8.2,   8.4,  12.7,  17.3,   1.1
2026062803020203,1,06281023,5,      42913,   8.4,   7.6,  12.8,  17.1,   1.1
2026062803020203,1,06281030,5,      45801,   8.6,   7.6,  12.9,  16.7,   1.1
2026062803020203,1,06281038,5,      48685,   8.4,   7.5,  12.6,  16.4,   1.1
2026062803020203,1,06281044,5,      56558,   9.3,   8.4,  13.8,  18.0,   1.1
2026062803020203,1,06281049,5,      61655,   9.0,   7.9,  13.0,  17.3,   1.1
2026062803020203,1,06281054,5,      68038,   9.2,   8.0,  12.7,  17.9,   1.1
2026062803020203,1,06281059,5,      78357,   8.5,   7.1,  10.9,  18.2,   1.1
2026062803020203,1,06281104,5,     126844,   9.6,   7.3,  10.3,  21.4,   1.1
2026062803020203,1,06281109,5,     244386,  11.1,   8.5,  12.0,  30.2,   1.1
2026062803020203,1,06281115,5,     314162,  11.0,   8.7,  11.9,  32.4,   1.1
2026062803020203,3,06281120,5,     669516,  13.0,  12.2,  17.9,  53.2,   1.1
2026062803020203,4,06281125,5,     669516,  13.0,  12.2,  17.9,  53.2,   1.1
