ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,ògòAï[êî,òg1-1,òg1-2,òg1-3,òg1-4,òg1-5,òg1-6,òg1-7,òg1-8,òg2-2,òg2-3,òg2-4,òg2-5,òg2-6,òg2-7,òg2-8,òg3-3,òg3-4,òg3-5,òg3-6,òg3-7,òg3-8,òg4-4,òg4-5,òg4-6,òg4-7,òg4-8,òg5-5,òg5-6,òg5-7,òg5-8,òg6-6,òg6-7,òg6-8,òg7-7,òg7-8,òg8-8
2026072501010109,4,07251426,10,     103907,   0.0, 199.3,  58.3,  54.8,  38.2, 108.2, 116.0,  87.7,   0.0,  56.0,  53.2,  38.4, 161.0, 159.4,  96.4,   0.0,   8.3,   5.6,  16.3,  26.4,  11.7,   0.0,   5.8,  21.3,  52.5,  12.4,   0.0,  11.5,  17.0,  11.9,   0.0,  68.9,  25.1, 301.6,  50.8, 181.3
2026072501010110,1,07251439,11,      66036,   0.0, 168.3, 235.8, 209.7, 161.4,  44.3,  93.5,  90.2,   0.0, 137.2, 168.9,  77.4,  24.1,  45.6,  41.9,   0.0, 162.9, 113.9,  27.6,  61.8,  64.2,   0.0,  67.3,  22.2,  38.3,  43.2,   0.0,  12.4,  23.1,  19.6,   8.2,   4.3,   4.3,  78.9,   7.1, 103.8
2026072501010110,1,07250904,11,       6668,   0.0,  78.2, 114.8,  86.1, 143.5,  47.4,  63.7,  73.8,   0.0,  74.8, 156.5,  64.5,  30.5,  38.2,  52.1,   0.0,  93.9,  93.9,  31.8,  42.7,  58.0,   0.0,  93.9,  23.3,  25.7,  43.4,   0.0,  18.7,  24.2,  27.7,  11.8,   4.8,   3.9,  37.4,   5.9, 117.4
2026072501010110,1,07242100,11,        372,   0.0,  28.8,  72.0,  57.6, 144.1,  72.0,  28.8,  48.0,   0.0,  96.1,  48.0,  36.0,  48.0,  57.6,  48.0,   0.0, 288.3,  96.1,  20.5,  41.1,  36.0,   0.0,  57.6,  32.0,   8.7,  36.0,   0.0,  20.5,  22.1,  28.8,  41.1,   4.6,   5.8, 144.1,   5.7, 144.1
2026072501010110,4,07251457,11,     129557,   0.0, 214.0, 283.6, 252.2, 161.9,  40.0,  82.3,  70.8,   0.0, 162.7, 134.4,  74.1,  21.0,  38.9,  37.6,   0.0, 184.5, 118.8,  31.7,  69.2,  68.4,   0.0,  76.5,  23.1,  40.6,  36.9,   0.0,  13.2,  23.5,  20.9,   8.1,   4.1,   4.3,  84.7,   7.5, 117.5
2026072501010111,1,07251514,12,     142976,   0.0,  80.1,  74.9, 115.4,  98.1,  28.9,  61.6, 134.9,   0.0,  28.1,  60.7,  36.3,  14.0,  28.5,  91.8,   0.0,  47.0,  19.0,   6.3,  12.8,  59.7,   0.0,  47.5,  16.8,  34.9, 120.1, 279.1,   8.2,  16.6,  62.7,  16.9,   5.2,  19.6,  73.3,  34.5, 395.7
2026072501010111,1,07250900,12,      18638,   0.0,  68.1,  64.7,  93.1,  85.4,  30.0,  57.7, 111.1,   0.0,  14.8,  61.2,  32.3,  16.0,  31.4,  79.3,   0.0,  55.5,  13.0,   5.9,  13.9,  57.5,   0.0,  50.6,  14.3,  36.8, 111.1, 412.6,  10.9,  19.4,  72.9,  18.4,   5.6,  22.4,  64.7,  37.8, 534.9
2026072501010111,1,07242100,12,       1445,   0.0,  93.3,  93.3, 111.9, 124.4,  55.9,  27.9, 223.9,   0.0,   5.1, 111.9,  58.9,  46.6,  29.4, 139.9,   0.0, 223.9,   4.8,   4.1,  15.3, 124.4,   0.0,  74.6,  34.9,  27.3, 223.9, 559.9,  21.1,  25.4, 111.9,  23.3,  10.4,  58.9,  43.0,  37.3, 559.9
2026072501010111,4,07251533,12,     238795,   0.0,  89.1,  78.9, 130.4, 100.6,  31.1,  73.3, 166.7,   0.0,  26.2,  50.0,  31.0,  11.4,  32.1,  73.9,   0.0,  43.2,  18.2,   6.3,  14.9,  54.4,   0.0,  47.8,  15.6,  41.7, 105.2, 254.2,   8.1,  18.7,  66.7,  16.5,   5.3,  18.9,  80.0,  40.6, 458.0
2026072501010112,1,07251550,11,      46426,   0.0, 148.0, 189.3, 153.1,  60.6,  71.5,  37.8, 126.2,   0.0, 176.3, 201.0,  72.1,  70.6,  46.7, 161.3,   0.0, 146.2,  48.6,  48.7,  32.7, 139.4,   0.0,  32.0,  34.9,  20.8, 103.6,   0.0,   5.8,   3.6,  44.4,  37.8,   3.9,  45.3,   8.2,  20.2, 227.7
