ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,ògòAï[êî,òg1-1,òg1-2,òg1-3,òg1-4,òg1-5,òg1-6,òg1-7,òg1-8,òg2-2,òg2-3,òg2-4,òg2-5,òg2-6,òg2-7,òg2-8,òg3-3,òg3-4,òg3-5,òg3-6,òg3-7,òg3-8,òg4-4,òg4-5,òg4-6,òg4-7,òg4-8,òg5-5,òg5-6,òg5-7,òg5-8,òg6-6,òg6-7,òg6-8,òg7-7,òg7-8,òg8-8
2026071902011207,1,07190904,14,       5602,   0.0,  94.3,  76.1,  72.3, 228.5, 105.8, 111.3,  92.3,   0.0,  86.8,  86.8, 127.6, 131.5, 140.0,   8.4,  43.4,   8.0,  18.4,  14.4,  21.4,   5.8, 108.5,  23.4,  16.2,  22.1,   6.3, 124.0,  20.4,  34.4,  35.0,  49.3,  36.7,  22.6, 173.6,  32.3, 140.0
2026071902011207,1,07182058,14,       1624,   0.0, 419.5, 419.5, 629.3,   0.0, 419.5, 314.6, 314.6,   0.0, 251.7, 314.6, 209.7, 179.8, 419.5,   3.0, 314.6,  29.9, 104.8,  41.9,  83.9,   3.0, 419.5,  66.2,  40.6,  57.2,   2.9,   0.0, 139.8, 114.4,  66.2,  24.2,  69.9, 104.8,1258.6,  89.9,  83.9
2026071902011207,4,07191317,14,      97625,   0.0, 439.8,  97.2, 158.6, 210.7, 209.5, 206.1, 146.9,   0.0, 108.7, 193.0, 273.1, 235.6, 227.8,  92.0,  24.7,   6.2,   8.1,  10.3,  11.4,   6.0, 158.9,  12.1,  16.1,  18.2,  13.0, 214.3,  28.1,  26.7,  15.5,  94.1,  29.3,  33.3, 141.1,  31.9, 328.9
2026071902011208,1,07191329,10,      18733,   0.0, 130.7,   8.4,  33.7,  49.8,  30.0,  33.1,  52.4,   0.0,  95.5, 149.6, 114.3, 120.9, 122.0, 135.6,   0.0,   8.1,   8.3,   5.6,   9.7,  13.1,   0.0,  32.3,  20.1,  27.3,  46.0,   0.0,  22.1,  32.4,  39.1,   0.0,  19.6,  29.9,  97.4,  24.6,  92.4
2026071902011208,1,07190904,10,       3193,   0.0,  41.9,  13.9,  27.4,  35.8,  23.1,  23.3,  31.7,   0.0,  50.5,  60.3,  68.7,  61.8,  68.7,  66.8,   0.0,  12.8,  10.5,   7.7,  13.9,  16.6,   0.0,  32.5,  19.1,  22.9,  29.4,   0.0,  18.8,  24.5,  24.9,   0.0,  17.3,  18.8,  74.9,  19.3,  85.3
2026071902011208,1,07182054,10,        310,   0.0,  60.0,  30.0,  40.0, 120.1,  21.8,  24.0,  48.0,   0.0,  40.0,  80.0,  40.0,  24.0,  60.0,  60.0,   0.0,  24.0,  13.3,  10.4,  12.6,  24.0,   0.0,  34.3,  24.0,  15.0,  34.3,   0.0,  13.3,  17.1,  12.0,   0.0,  10.4,  14.1, 240.2,  17.1,  60.0
2026071902011208,4,07191347,10,      60426,   0.0, 221.9,   7.7,  20.0,  40.0,  33.0,  32.1,  65.3,   0.0, 167.2, 237.7, 245.1, 216.8, 180.1, 210.0,   0.0,   6.8,   7.1,   6.8,   9.9,  14.7,   0.0,  22.6,  20.7,  16.3,  32.4,   0.0,  26.3,  33.8,  56.3,   0.0,  24.8,  42.1, 106.4,  36.8, 138.1
2026071902011209,1,07191359,13,      34188,   0.0,  36.6, 143.9,  47.3,  53.3,  10.0,  24.0, 173.1,   0.0, 113.7,  24.5,  25.3,   5.4,  43.7,  97.7,   0.0, 130.5,  94.9,  36.5, 108.5, 170.9, 311.7,  22.9,   5.2,  36.8,  98.4,  86.0,   6.0,  31.2,  67.5,  17.8,  10.8,  28.3, 211.9,  66.2, 358.0
2026071902011209,1,07190856,13,       5174,   0.0,  31.5,  46.0,  34.8,  54.1,  13.1,  54.9, 125.3,   0.0,  75.6,  24.7,  24.3,   8.9,  39.3,  72.9,   0.0,  77.1,  80.1,  29.9,  58.9,  72.9, 190.9,  15.0,   6.1,  24.0,  61.6,  54.9,   6.1,  25.7,  40.9,  18.5,  12.2,  24.4, 200.4,  40.9, 121.5
2026071902011209,1,07182054,13,        522,   0.0,  36.7, 202.2,  57.7, 202.2,  13.4,  44.9,   0.0,   0.0,  80.9,  25.2,  28.8,   9.1,  31.1,  80.9,   0.0, 202.2, 202.2,  20.2,  36.7, 101.1,   0.0,  21.2,   6.9,  16.8,  57.7,   0.0,  11.2,  28.8,  19.2,  17.5,   6.4,  14.9, 134.8,  25.2,  28.8
2026071902011209,4,07191416,13,      91979,   0.0,  37.3, 165.7,  24.7,  54.8,  10.7,  50.4, 252.7,   0.0,  91.9,  11.8,  25.2,   5.7,  65.2, 143.4,   0.0,  64.1, 163.4,  34.3, 219.3, 351.1, 432.0,  21.9,   4.6,  55.9,  89.1, 143.4,   5.1,  54.2, 103.6,  22.4,  13.1,  31.0, 330.0, 104.0, 766.4
2026071902011210,1,07191434,14,      60422,   0.0, 145.4,  29.7,  37.1,  34.3,   9.0,   5.6,  28.4,   0.0, 168.4, 237.7, 162.0, 145.8,  82.7, 213.8, 214.8,  48.6,  47.6,  23.5,  15.9,  58.9, 334.4,  57.2,  28.6,  15.8,  61.0, 143.6,  24.6,  16.2,  50.5,  76.2,   4.8,  21.4,  21.1,  12.0, 349.4
