年,月,日,場所,R,略レース名,条件表記,芝・ダート,距離,頭数,レース印１
6,B,9,,,,,テンレディーゴー,,牡,3,,佐々木大,57,,(美),菊川正達,,天白泰司,千代田牧場,鹿毛,3月27日
6,,10,,,,,コワンニシタガウ,,牡,3,,武豊,57,,(栗),庄野靖志,,幅田京子,大栄牧場,栗毛,3月24日
7,,11,,,,,ルナティックブルー,,牝,3,,小沢大仁,55,,(栗),今野貞一,,KHレーシング,大北牧場,黒鹿,2月 1日
7,,12,,,,,ギルランダ,,牝,3,*,舟山瑠泉,54,☆,(美),中舘英二,,キャロットファーム,社台コーポレーション白老ファーム,青鹿,4月20日
8,,13,,,,,ルージュアイラ,,牝,3,*,古川奈穂,53,◇,(栗),池江泰寿,,東京ホースレーシング,ノーザンファーム,栗毛,2月18日
8,,14,,,,,セイントクーヤ,,牡,3,,長浜鴻緒,56,☆,(美),黒岩陽一,,小島章義,フジワラフアーム,鹿毛,4月 1日
年,月,日,場所,R,略レース名,条件表記,芝・ダート,距離,頭数,レース印１
2026,07,25,札幌,7,１勝ｸﾗｽ,３歳以上・１勝クラス/500万下(定量)[指定],芝,1200,15,
枠番,B,番,印,M2,M3,M4,  馬名,Ｃ,性別,年齢,替,騎手,斤量,減M,所属,調教師,馬記号, 馬主, 生産者,毛色,誕生
1,,1,,,,,ペイシャアーサー,,牡,4,,遠藤汰月,55,▲,(美),本間忍,,北所直人,友田牧場,栗毛,3月14日
2,,2,,,,,ハッピーラッキー,,牡,3,,横山和生,55,,(美),武市康男,,井山登,藤沢牧場,黒鹿,2月 4日
2,B,3,,,,,ナンナンプー,,牝,4,*,石川倭,56,,(美),水野貴広,(地),友水達也,田中スタッド,鹿毛,4月24日
3,,4,,,,,シュークリーム,,牝,5,*,鮫島克駿,56,,(栗),西村真幸,,安原浩司,フジワラフアーム,鹿毛,3月 1日
3,,5,,,,,ランプローグ,,牝,3,*,佐々木大,53,,(美),矢野英一,,ディアレストクラブ,武田牧場,鹿毛,3月 8日
4,,6,,,,,セガンティーニ,,牝,4,*,舟山瑠泉,55,☆,(栗),坂口智康,(地),畑佐博,プログレスファーム,栗毛,2月27日
4,,7,,,,,ニシノサリーナ,,牝,3,,池添謙一,53,,(栗),橋口慎介,,西山茂行,鮫川啓一,黒鹿,4月10日
5,B,8,,,,,サトノカスターニャ,,牝,3,*,北村友一,53,,(栗),吉岡辰弥,,里見治,ノーザンファーム,鹿毛,3月 6日
5,,9,,,,,カイショー,,牝,3,*,横山武史,53,,(栗),長谷川浩,,嶽崎元彦,三嶋牧場,黒鹿,1月28日
6,,10,,,,,アイアムステキ,,牝,3,*,武豊,53,,(美),奥平雅士,,ワイズマン,まるとみ冨岡牧場,黒鹿,3月29日
6,,11,,,,,ペガサスノース,,牝,4,*,小林美駒,53,▲,(栗),高柳大輔,,天羽牧場,天羽牧場,黒鹿,5月15日
7,,12,,,,,ジーティーエスピ,,牡,4,,丹内祐次,58,,(栗),中村直也,,田畑利彦,タイヘイ牧場,鹿毛,1月28日
7,,13,,,,,グランテレーズ,,牝,5,,小沢大仁,56,,(栗),渡辺薫彦,,シルクレーシング,坂東牧場,鹿毛,3月23日
8,,14,,,,,イズルード,,牡,4,*,長浜鴻緒,57,☆,(美),田島俊明,,レッドマジック,春木ファーム,栗毛,4月16日
8,,15,,,,,マティンデ,,牝,3,*,横山琉人,53,,(栗),清水久詞,,中辻明,杵臼牧場,鹿毛,3月 6日
年,月,日,場所,R,略レース名,条件表記,芝・ダート,距離,頭数,レース印１
2026,07,25,札幌,8,１勝ｸﾗｽ,３歳以上・１勝クラス/500万下(定量)[指定],ダート,1700,12,
枠番,B,番,印,M2,M3,M4,  馬名,Ｃ,性別,年齢,替,騎手,斤量,減M,所属,調教師,馬記号, 馬主, 生産者,毛色,誕生
1,,1,,,,,ビービーバザーク,,牡,4,,和田陽希,55,▲,(栗),武幸四郎,,坂東牧場,坂東牧場,黒鹿,3月17日
2,B,2,,,,,マーベリックシチー,,牡,5,,鮫島克駿,58,,(栗),岡田稲男,,友駿ホースクラブ,幌村牧場,栗毛,2月 3日
3,,3,,,,,カフェブーケット,,牡,4,*,長浜鴻緒,57,☆,(美),柄崎将寿,,西川光一,三嶋牧場,青鹿,4月 5日
4,,4,,,,,リュミナーズ,,牝,4,*,佐々木大,56,,(美),堀内岳志,,下河辺牧場,下河辺牧場,栗毛,2月 1日
5,,5,,,,,ジェネラスキング,,牡,3,*,横山武史,55,,(美),久保田貴,,G1レーシング,社台コーポレーション白老ファーム,黒鹿,1月24日
5,B,6,,,,,ザハント,,セ,4,*,小沢大仁,58,,(栗),田中克典,,今村明浩,谷口牧場,黒鹿,4月 2日
6,,7,,,,,オンザムービー,,牡,3,,横山和生,55,,(栗),牧田和弥,,安原浩司,岡田牧場,栗毛,3月23日
6,,8,,,,,タイキルッジェーロ,,牡,3,*,北村友一,55,,(栗),高野友和,,大樹ファーム,ビクトリーホースランチ,黒鹿,5月 5日
7,,9,,,,,ハイライトニング,,セ,3,*,池添謙一,55,,(美),嘉藤貴行,,TNレースホース,千代田牧場,鹿毛,2月11日
7,,10,,,,,ファンタイムギフト,,セ,4,,丹内祐次,58,,(美),相沢郁,,星野祐介,二風谷ファーム,黒鹿,4月18日
8,B,11,,,,,アルニラム,,セ,5,*,古川吉洋,58,,(美),伊藤大士,,STレーシング,恵比寿興業株式会社那須野牧場,鹿毛,2月18日
8,B,12,,,,,ピエナオルカ,,牡,3,*,小林美駒,52,▲,(栗),谷潔,,本谷兼三,沖田牧場,芦毛,3月25日
年,月,日,場所,R,略レース名,条件表記,芝・ダート,距離,頭数,レース印１
2026,07,25,札幌,9,１勝ｸﾗｽ・牝,３歳以上・１勝クラス/500万下(定量)(牝)[指定],芝,1800,10,
枠番,B,番,印,M2,M3,M4,  馬名,Ｃ,性別,年齢,替,騎手,斤量,減M,所属,調教師,馬記号, 馬主, 生産者,毛色,誕生
1,,1,,,,,ガーネットフレア,,牝,3,*,北村友一,53,,(栗),杉山佳明,,キャロットファーム,ノーザンファーム,鹿毛,1月18日
2,,2,,,,,ニシノエピカリ,,牝,4,*,河原田菜,52,★,(美),秋本大介,,西山茂行,田上徹,青鹿,2月 4日
3,,3,,,,,ルーチェフィオーレ,,牝,3,,横山和生,53,,(美),嘉藤貴行,,ロードホースクラブ,ケイアイファーム,鹿毛,3月25日
4,,4,,,,,ジェルブロア,,牝,4,*,古川奈穂,54,◇,(栗),矢作芳人,,ノースヒルズ,ノースヒルズ,黒鹿,5月14日
5,,5,,,,,シニャンガ,,牝,3,*,横山武史,53,,(美),鹿戸雄一,,サンデーレーシング,ノーザンファーム,芦毛,3月 4日
6,,6,,,,,ラコンチャビエン,,牝,3,*,武豊,53,,(栗),藤原英昭,,モンレーヴ,グランド牧場,黒鹿,2月23日
7,,7,,,,,ジャストビート,,牝,3,,鮫島克駿,53,,(栗),安達昭夫,,"Him Rock Racingホールディングス",タバタファーム,鹿毛,4月 4日
7,,8,,,,,ディヒターリーベ,,牝,4,*,石川倭,56,,(美),高橋文雅,(地),ディアレストクラブ,ノーザンファーム,黒鹿,2月 9日
8,,9,,,,,キタノサリスカ,,牝,3,,和田陽希,50,▲,(栗),羽月友彦,,北所直人,高山牧場,鹿毛,5月 7日
8,,10,,,,,ナムラヒナギク,,牝,3,,小沢大仁,53,,(栗),大橋勇樹,,奈村睦弘,ヒダカシーサイドファーム,鹿毛,5月13日
年,月,日,場所,R,略レース名,条件表記,芝・ダート,距離,頭数,レース印１
2026,07,25,札幌,10,ライラッ･2勝,３歳以上・２勝クラス/1000万下(定量)(混)(特指),芝,2600,11,
枠番,B,番,印,M2,M3,M4,  馬名,Ｃ,性別,年齢,替,騎手,斤量,減M,所属,調教師,馬記号, 馬主, 生産者,毛色,誕生
1,B,1,,,,,ヴァイザーバルコ,,セ,6,*,石川倭,58,,(美),水野貴広,(地),ディアレストクラブ,ディアレストクラブ,栗毛,4月10日
2,,2,,,,,リギーロ,,牡,4,*,佐々木大,58,,(美),栗田徹,,前田幸貴,ノースヒルズ,黒鹿,4月 2日
3,,3,,,,,ライフセービング,,牡,5,,古川吉洋,58,,(栗),宮徹,,吉田照哉,社台ファーム,黒鹿,4月23日
4,,4,,,,,レイデラルース,,牡,5,*,丹内祐次,58,,(美),西田雄一,,DMMドリームクラブ,ノーザンファーム,青鹿,1月31日
5,,5,,,,,ボンドロア,,牡,4,*,横山武史,58,,(栗),松永幹夫,,寺田寿男,社台ファーム,鹿毛,2月19日
6,,6,,,,,アスクデッドヒート,,牡,4,,古川奈穂,58,,(栗),矢作芳人,,廣崎利洋HD,社台コーポレーション白老ファーム,鹿毛,1月30日
